problem_id,题号,标题,难度,所属分类,标签,简介,链接,所属题库
1,1,两数之和,简单,哈希,数组、哈希表,给定一个整数数组 nums 和一个整数目标值 target，请你在该数组中找出和为目标值 target 的那两个整数，并返回它们的数组下标。,https://leetcode.cn/problems/two-sum/,0
49,49,字母异位词分组,中等,哈希,数组、哈希表、字符串,给你一个字符串数组，请你将字母异位词组合在一起。可以按任意顺序返回结果列表。,https://leetcode.cn/problems/group-anagrams/,0
128,128,最长连续序列,中等,哈希,并查集、数组、哈希表,给定一个未排序的整数数组 nums ，找出数字连续的最长序列（不要求序列元素在原数组中连续）的长度。,https://leetcode.cn/problems/longest-consecutive-sequence/,0
283,283,移动零,简单,双指针,数组、双指针,给定一个数组 nums，编写一个函数将所有 0 移动到数组的末尾，同时保持非零元素的相对顺序。,https://leetcode.cn/problems/move-zeroes/,0
11,11,盛最多水的容器,中等,双指针,贪心、数组、双指针,"给定一个长度为 n 的整数数组 height 。有 n 条垂线，第 i 条线的两个端点是 (i, 0) 和 (i, height[i]) 。找出其中的两条线，使得它们与 x 轴共同构成的容器可以容纳最多的水。",https://leetcode.cn/problems/container-with-most-water/,0
15,15,三数之和,中等,双指针,数组、双指针、排序,"给你一个整数数组 nums ，判断是否存在三元组 [nums[i], nums[j], nums[k]] 满足 i != j、i != k 且 j != k ，同时还满足 nums[i] + nums[j] + nums[k] == 0 。",https://leetcode.cn/problems/3sum/,0
42,42,接雨水,困难,双指针,栈、数组、双指针、动态规划,给定 n 个非负整数表示每个宽度为 1 的柱子的高度图，计算按此排列的柱子，下雨之后能接多少雨水。,https://leetcode.cn/problems/trapping-rain-water/,0
3,3,无重复字符的最长子串,中等,滑动窗口,哈希表、字符串、滑动窗口,给定一个字符串 s ，请你找出其中不含有重复字符的最长子串的长度。,https://leetcode.cn/problems/longest-substring-without-repeating-characters/,0
438,438,找到字符串中所有字母异位词,中等,滑动窗口,哈希表、字符串、滑动窗口,给定两个字符串 s 和 p，找到 s 中所有 p 的异位词的子串，返回这些子串的起始索引。不考虑答案输出的顺序。,https://leetcode.cn/problems/find-all-anagrams-in-a-string/,0
560,560,和为 K 的子数组,中等,子串,数组、哈希表、前缀和,给你一个整数数组 nums 和一个整数 k ，请你统计并返回该数组中和为 k 的子数组的个数。,https://leetcode.cn/problems/subarray-sum-equals-k/,0
239,239,滑动窗口最大值,困难,子串,队列、数组、滑动窗口、堆,给你一个整数数组 nums，有一个大小为 k 的滑动窗口从数组的最左侧移动到数组的最右侧。你只可以看到在滑动窗口内的 k 个数字。滑动窗口每次只向右移动一位。返回滑动窗口中的最大值。,https://leetcode.cn/problems/sliding-window-maximum/,0
76,76,最小覆盖子串,困难,子串,哈希表、字符串、滑动窗口,"给你一个字符串 s 、一个字符串 t 。返回 s 中涵盖 t 所有字符的最小子串。如果 s 中不存在涵盖 t 所有字符的子串，则返回空字符串 """" 。",https://leetcode.cn/problems/minimum-window-substring/,0
53,53,最大子数组和,中等,普通数组,数组、分治、动态规划,给你一个整数数组 nums ，请你找出一个具有最大和的连续子数组（子数组最少包含一个元素），返回其最大和。,https://leetcode.cn/problems/maximum-subarray/,0
56,56,合并区间,中等,普通数组,数组、排序,"以数组 intervals 表示若干个区间的集合，其中单个区间为 intervals[i] = [starti, endi] 。请你合并所有重叠的区间，并返回一个不重叠的区间数组。",https://leetcode.cn/problems/merge-intervals/,0
189,189,轮转数组,中等,普通数组,数组、数学、双指针,给定一个整数数组 nums，将数组中的元素向右轮转 k 个位置，其中 k 是非负数。,https://leetcode.cn/problems/rotate-array/,0
238,238,除自身以外数组的乘积,中等,普通数组,数组、前缀和,给你一个整数数组 nums，返回数组 answer ，其中 answer[i] 等于 nums 中除 nums[i] 之外其余各元素的乘积。,https://leetcode.cn/problems/product-of-array-except-self/,0
41,41,缺失的第一个正数,困难,普通数组,数组、哈希表,给你一个未排序的整数数组 nums ，请你找出其中没有出现的最小的正整数。,https://leetcode.cn/problems/first-missing-positive/,0
73,73,矩阵置零,中等,矩阵,数组、哈希表、矩阵,给定一个 m x n 的矩阵，如果一个元素为 0 ，则将其所在行和列的所有元素都设为 0 。请使用原地算法。,https://leetcode.cn/problems/set-matrix-zeroes/,0
54,54,螺旋矩阵,中等,矩阵,数组、矩阵、模拟,给你一个 m 行 n 列的矩阵 matrix ，请按照顺时针螺旋顺序，返回矩阵中的所有元素。,https://leetcode.cn/problems/spiral-matrix/,0
48,48,旋转图像,中等,矩阵,数组、数学、矩阵,给定一个 n × n 的二维矩阵 matrix 表示一个图像。请你将图像顺时针旋转 90 度。你必须在原地旋转图像。,https://leetcode.cn/problems/rotate-image/,0
240,240,搜索二维矩阵 II,中等,矩阵,数组、二分查找、分治,编写一个高效的算法来搜索 m x n 矩阵 matrix 中的一个目标值 target 。该矩阵具有以下特性：每行的元素从左到右升序排列。每列的元素从上到下升序排列。,https://leetcode.cn/problems/search-a-2d-matrix-ii/,0
160,160,相交链表,简单,链表,哈希表、链表、双指针,给你两个单链表的头节点 headA 和 headB ，请你找出并返回两个单链表相交的起始节点。如果两个链表不存在相交节点，返回 null 。,https://leetcode.cn/problems/intersection-of-two-linked-lists/,0
206,206,反转链表,简单,链表,递归、链表,给你单链表的头节点 head ，请你反转链表，并返回反转后的链表。,https://leetcode.cn/problems/reverse-linked-list/,0
234,234,回文链表,简单,链表,栈、递归、链表,给你一个单链表的头节点 head ，请你判断该链表是否为回文链表。如果是，返回 true ；否则，返回 false 。,https://leetcode.cn/problems/palindrome-linked-list/,0
141,141,环形链表,简单,链表,哈希表、链表、双指针,给你一个链表的头节点 head ，判断链表中是否有环。,https://leetcode.cn/problems/linked-list-cycle/,0
142,142,环形链表 II,中等,链表,哈希表、链表、双指针,给定一个链表的头节点 head ，返回链表开始入环的第一个节点。如果链表无环，则返回 null。,https://leetcode.cn/problems/linked-list-cycle-ii/,0
21,21,合并两个有序链表,简单,链表,递归、链表,将两个升序链表合并为一个新的升序链表并返回。新链表是通过拼接给定的两个链表的所有节点组成的。,https://leetcode.cn/problems/merge-two-sorted-lists/,0
2,2,两数相加,中等,链表,递归、链表、数学,给你两个非空的链表，表示两个非负的整数。它们每位数字都是按照逆序的方式存储的，并且每个节点只能存储一位数字。请你将两个数相加，并以相同形式返回一个表示和的链表。,https://leetcode.cn/problems/add-two-numbers/,0
19,19,删除链表的倒数第N个结点,中等,链表,链表、双指针,给你一个链表，删除链表的倒数第 n 个结点，并且返回链表的头结点。,https://leetcode.cn/problems/remove-nth-node-from-end-of-list/,0
24,24,两两交换链表中的节点,中等,链表,递归、链表,给你一个链表，两两交换其中相邻的节点，并返回交换后链表的头节点。你必须在不修改节点内部的值的情况下完成本题。,https://leetcode.cn/problems/swap-nodes-in-pairs/,0
25,25,K个一组翻转链表,困难,链表,递归、链表,给你链表的头节点 head ，每 k 个节点一组进行翻转，请你返回修改后的链表。,https://leetcode.cn/problems/reverse-nodes-in-k-group/,0
138,138,随机链表的复制,中等,链表,哈希表、链表,给你一个长度为 n 的链表，每个节点包含一个额外增加的随机指针 random ，该指针可以指向链表中的任何节点或空节点。构造这个链表的深拷贝。,https://leetcode.cn/problems/copy-list-with-random-pointer/,0
148,148,排序链表,中等,链表,链表、双指针、分治、排序,给你链表的头结点 head ，请将其按升序排列并返回排序后的链表。,https://leetcode.cn/problems/sort-list/,0
23,23,合并K个升序链表,困难,链表,链表、分治、堆,给你一个链表数组，每个链表都已经按升序排列。请你将所有链表合并到一个升序链表中，返回合并后的链表。,https://leetcode.cn/problems/merge-k-sorted-lists/,0
146,146,LRU缓存,中等,链表,设计、哈希表、链表,请你设计并实现一个满足 LRU (最近最少使用) 缓存约束的数据结构。实现 LRUCache 类。,https://leetcode.cn/problems/lru-cache/,0
94,94,二叉树的中序遍历,简单,二叉树,栈、树、深度优先搜索,给定一个二叉树的根节点 root ，返回它的中序遍历。,https://leetcode.cn/problems/binary-tree-inorder-traversal/,0
104,104,二叉树的最大深度,简单,二叉树,树、深度优先搜索、广度优先搜索,给定一个二叉树 root ，返回其最大深度。二叉树的最大深度是指从根节点到最远叶子节点的最长路径上的节点数。,https://leetcode.cn/problems/maximum-depth-of-binary-tree/,0
226,226,翻转二叉树,简单,二叉树,树、深度优先搜索、广度优先搜索,给你一棵二叉树的根节点 root ，翻转这棵二叉树，并返回其根节点。,https://leetcode.cn/problems/invert-binary-tree/,0
101,101,对称二叉树,简单,二叉树,树、深度优先搜索、广度优先搜索,给你一个二叉树的根节点 root ，检查它是否轴对称。,https://leetcode.cn/problems/symmetric-tree/,0
543,543,二叉树的直径,简单,二叉树,树、深度优先搜索、二叉树,给你一棵二叉树的根节点，返回该树的直径。二叉树的直径是指树中任意两个节点之间最长路径的长度。,https://leetcode.cn/problems/diameter-of-binary-tree/,0
102,102,二叉树的层序遍历,中等,二叉树,树、广度优先搜索、二叉树,给你二叉树的根节点 root ，返回其节点值的层序遍历。（即逐层地，从左到右访问所有节点）。,https://leetcode.cn/problems/binary-tree-level-order-traversal/,0
108,108,将有序数组转换为二叉搜索树,简单,二叉树,树、二叉搜索树、数组、分治,给你一个整数数组 nums ，其中元素已经按升序排列，请你将其转换为一棵高度平衡二叉搜索树。,https://leetcode.cn/problems/convert-sorted-array-to-binary-search-tree/,0
98,98,验证二叉搜索树,中等,二叉树,树、深度优先搜索、二叉搜索树,给你一个二叉树的根节点 root ，判断其是否是一个有效的二叉搜索树。,https://leetcode.cn/problems/validate-binary-search-tree/,0
230,230,二叉搜索树中第K小的元素,中等,二叉树,树、深度优先搜索、二叉搜索树,给定一个二叉搜索树的根节点 root ，和一个整数 k ，请你设计一个算法查找其中第 k 个最小元素（从 1 开始计数）。,https://leetcode.cn/problems/kth-smallest-element-in-a-bst/,0
199,199,二叉树的右视图,中等,二叉树,树、深度优先搜索、广度优先搜索,给定一个二叉树的根节点 root，想象自己站在它的右侧，按照从顶部到底部的顺序，返回从右侧所能看到的节点值。,https://leetcode.cn/problems/binary-tree-right-side-view/,0
