problem_id,题号,标题,难度,所属分类,标签,简介,链接,所属题库
1,704,二分查找,简单,数组,"数组,二分查找",给定一个n个元素有序的整型数组和一个目标值，写一个函数搜索数组中的目标值，如果目标值存在返回下标，否则返回-1。,https://leetcode.cn/problems/binary-search/,1
2,27,移除元素,简单,数组,"数组,双指针",给你一个数组nums和一个值val，你需要原地移除所有数值等于val的元素，并返回移除后数组的新长度。,https://leetcode.cn/problems/remove-element/,1
3,977,有序数组的平方,简单,数组,"数组,双指针,排序",给你一个按非递减顺序排序的整数数组nums，返回每个数字的平方组成的新数组，要求也按非递减顺序排序。,https://leetcode.cn/problems/squares-of-a-sorted-array/,1
4,209,长度最小的子数组,中等,数组,"数组,滑动窗口,二分查找",给定一个含有n个正整数的数组和一个正整数target，找出该数组中满足其和≥target的长度最小的连续子数组并返回其长度。,https://leetcode.cn/problems/minimum-size-subarray-sum/,1
5,59,螺旋矩阵 II,中等,数组,"数组,矩阵,模拟",给你一个正整数n，生成一个包含1到n²所有元素，且元素按顺时针顺序螺旋排列的n×n正方形矩阵matrix。,https://leetcode.cn/problems/spiral-matrix-ii/,1
6,203,移除链表元素,简单,链表,"链表,递归",给你一个链表的头节点head和一个整数val，请你删除链表中所有满足Node.val==val的节点，并返回新的头节点。,https://leetcode.cn/problems/remove-linked-list-elements/,1
7,707,设计链表,中等,链表,"链表,设计",设计链表的实现，支持get、addAtHead、addAtTail、addAtIndex、deleteAtIndex等操作。,https://leetcode.cn/problems/design-linked-list/,1
8,206,反转链表,简单,链表,"链表,递归",给你单链表的头节点head，请你反转链表，并返回反转后的链表。,https://leetcode.cn/problems/reverse-linked-list/,1
9,24,两两交换链表中的节点,中等,链表,"链表,递归",给你一个链表，两两交换其中相邻的节点，并返回交换后链表的头节点。你必须在不修改节点内部的值的情况下完成本题。,https://leetcode.cn/problems/swap-nodes-in-pairs/,1
10,19,删除链表的倒数第N个结点,中等,链表,"链表,双指针",给你一个链表，删除链表的倒数第n个结点，并且返回链表的头结点。,https://leetcode.cn/problems/remove-nth-node-from-end-of-list/,1
11,面试题 02.07,链表相交,简单,链表,"链表,双指针",给你两个单链表的头节点headA和headB，请你找出并返回两个单链表相交的起始节点。如果两个链表不存在相交节点，返回null。,https://leetcode.cn/problems/intersection-of-two-linked-lists-lcci/,1
12,142,环形链表 II,中等,链表,"链表,双指针,哈希表",给定一个链表的头节点head，返回链表开始入环的第一个节点。如果链表无环，则返回null。,https://leetcode.cn/problems/linked-list-cycle-ii/,1
13,242,有效的字母异位词,简单,哈希表,"哈希表,字符串,排序",给定两个字符串s和t，编写一个函数来判断t是否是s的字母异位词。,https://leetcode.cn/problems/valid-anagram/,1
14,349,两个数组的交集,简单,哈希表,"数组,哈希表,双指针,二分查找,排序",给定两个数组nums1和nums2，返回它们的交集。输出结果中的每个元素一定是唯一的。,https://leetcode.cn/problems/intersection-of-two-arrays/,1
15,202,快乐数,简单,哈希表,"哈希表,数学,双指针",编写一个算法来判断一个数n是不是快乐数。快乐数定义为：对于一个正整数，每一次将该数替换为它每个位置上的数字的平方和，然后重复这个过程直到这个数变为1。,https://leetcode.cn/problems/happy-number/,1
16,1,两数之和,简单,哈希表,"数组,哈希表",给定一个整数数组nums和一个整数目标值target，请你在该数组中找出和为目标值target的那两个整数，并返回它们的数组下标。,https://leetcode.cn/problems/two-sum/,1
17,454,四数相加 II,中等,哈希表,"数组,哈希表","给你四个整数数组nums1、nums2、nums3和nums4，数组长度都是n，请你计算有多少个元组(i,j,k,l)能满足：nums1[i]+nums2[j]+nums3[k]+nums4[l]==0。",https://leetcode.cn/problems/4sum-ii/,1
18,383,赎金信,简单,哈希表,"哈希表,字符串,计数",给你两个字符串：ransomNote和magazine，判断ransomNote能不能由magazine里面的字符构成。,https://leetcode.cn/problems/ransom-note/,1
19,15,三数之和,中等,哈希表,"数组,双指针,排序","给你一个整数数组nums，判断是否存在三元组[nums[i], nums[j], nums[k]]满足i!=j、i!=k且j!=k，同时还满足nums[i]+nums[j]+nums[k]==0。",https://leetcode.cn/problems/3sum/,1
20,18,四数之和,中等,哈希表,"数组,双指针,排序",给你一个由n个整数组成的数组nums，和一个目标值target。请你找出并返回满足下述全部条件且不重复的四元组。,https://leetcode.cn/problems/4sum/,1
